,surface,tournament_level,best_of_sets,A_hand,A_has_seed,B_hand,B_has_seed,elo_diff,rank_diff,rank_points_diff,rolling_serve_win_ratio_diff,surface_win_ratio_diff,age_diff,height_cm_diff
198,1,0,5,1,1,1,0,-40.18347149871647,-70.0,2635.0,0.0,-0.3333333333333333,-4.600000000000001,13.0
199,1,0,5,1,1,1,0,0.0,-154.0,2554.0,0.0,0.0,-2.1000000000000014,13.0
200,1,0,5,1,0,1,0,-22.132473985524484,-102.0,335.0,0.0,-0.19496496673853397,-1.5,10.0
201,1,0,5,1,0,1,0,-20.0,-14.0,140.0,0.0,-0.5282983000718673,2.6999999999999993,-8.0
202,1,0,5,1,0,1,1,19.059921592378032,17.0,-390.0,0.0,0.16666666666666669,9.100000000000001,10.0
203,1,0,5,0,1,0,0,-1.1714922046146512,-283.0,1455.0,0.0,-0.02829830007186729,-1.2999999999999972,-5.0
204,1,0,5,1,0,1,0,-38.84997744430916,-89.0,358.0,0.0,-0.5282983000718673,-3.400000000000002,3.0
205,1,0,5,1,0,1,0,-40.098958648117105,10.0,-105.0,0.0,-0.5,3.1999999999999993,-13.0
206,1,0,5,1,1,1,0,-11.486356495270911,-26.0,1083.0,0.0,0.25,10.3,-33.0
207,1,0,5,1,0,0,1,16.68856806420081,54.0,-1373.0,-0.026213317769469224,0.16666666666666663,7.199999999999999,3.0
208,1,0,5,1,0,1,0,-18.78792217973887,-134.0,450.0,0.0,-0.5282983000718673,-3.3000000000000007,6.0
209,1,0,5,1,0,1,0,58.03775208353568,-21.0,132.0,0.0,0.75,-10.0,-3.0
210,1,0,5,1,1,1,0,36.24077314393185,-32.0,755.0,0.0,0.6666666666666666,2.200000000000003,11.0
211,1,0,5,1,1,1,0,101.57883226849162,-68.0,824.0,0.040443596595668874,0.5238095238095237,-3.400000000000002,13.0
212,1,0,5,1,0,0,0,-41.059352471484544,4.0,-34.0,-0.10734853568943015,-0.19999999999999996,9.100000000000001,-5.0
213,1,0,5,1,0,1,0,0.0,-174.0,936.0,0.0,-0.02829830007186729,4.600000000000001,-6.0
214,1,0,5,1,1,1,0,0.0,-72.0,5870.0,0.0,0.0,8.399999999999999,-3.0
215,1,0,5,1,1,1,0,-1.0145284707307383,-89.0,4789.0,0.0,0.3333333333333333,-5.600000000000001,8.0
216,1,0,5,1,0,1,0,0.0,-28.0,179.0,0.0,0.0,9.800000000000004,-2.0
217,1,0,5,1,0,1,0,-93.31728331282807,-38.0,555.0,0.0,-0.6666666666666666,-4.399999999999999,0.0
218,1,0,5,1,1,1,0,-18.84997744430916,-115.0,958.0,0.0,-0.5282983000718673,0.6999999999999993,16.0
219,1,0,5,1,1,0,0,79.6893763951798,-133.0,1363.0,0.008062740660665035,0.2217016999281327,1.5,13.0
220,1,0,5,1,0,0,0,-36.97293654850955,-31.0,405.0,-0.047019177571699045,-0.13333333333333341,10.600000000000001,18.0
221,1,0,5,1,0,1,0,21.077087393794045,154.0,-648.0,0.0,0.0,-11.899999999999999,8.0
222,1,0,5,1,1,0,0,91.6499944137704,-48.0,1697.0,0.08926351887440798,0.33333333333333337,-6.599999999999998,-5.0
223,1,0,5,1,1,1,0,-80.99591023449284,-58.0,1384.0,-0.01855966881994142,-0.375,4.5,-23.0
224,1,0,5,1,0,1,0,-21.15002255569084,-25.0,129.0,0.0,-0.5282983000718673,-8.799999999999997,-10.0
225,1,0,5,1,0,1,0,1.150022555690839,65.0,-405.0,0.0,0.02829830007186729,-9.3,5.0
226,1,0,5,1,1,1,0,38.09809834707494,-38.0,671.0,0.017636219994840108,0.16666666666666663,4.5,-5.0
227,1,0,5,1,1,1,0,58.781679081335824,-97.0,930.0,0.005137259178311537,0.185987414213847,4.900000000000002,-3.0
228,1,0,5,0,0,1,0,20.065135727336838,31.0,-388.0,0.0,0.16666666666666663,-0.3000000000000007,-18.0
229,1,0,5,1,0,0,0,0.0,23.0,-80.0,0.0,0.0,1.5,-8.0
230,1,0,5,1,1,1,0,95.39348188183772,-35.0,8450.0,-0.026082097400990212,0.4,2.900000000000002,-5.0
231,1,0,5,0,1,0,0,53.94114885494764,-75.0,9524.0,0.03581856504090941,0.2142857142857143,4.400000000000002,-8.0
232,1,0,5,1,1,1,0,0.9801506393887394,-90.0,959.0,0.0,-0.33333333333333337,-2.0,0.0
233,1,0,5,1,1,1,0,37.335711851919996,-35.0,630.0,0.08171113290959886,0.13333333333333341,-10.3,10.0
234,1,0,5,1,1,1,0,45.52967178012568,-61.0,1286.0,0.056023733751696225,0.2142857142857143,2.3000000000000007,15.0
235,1,0,5,1,1,1,0,0.07304668331471476,-114.0,2129.0,0.0,-0.33333333333333337,-7.5,-15.0
236,1,0,5,1,0,1,0,1.8845411175334448,201.0,-771.0,-0.030786329759592945,0.4,0.8000000000000007,9.0
237,1,0,5,1,1,1,0,-53.35632118687977,-88.0,890.0,0.07268120143555878,-0.35,-11.400000000000002,-7.0
238,1,0,5,1,1,0,0,-38.13332357009631,-135.0,5513.0,0.0,-0.25,-0.6999999999999993,2.0
